trafikplatsnamn;signatur;northing;easting;lat;long;bandel
Vinnö;Vnö;6212160;443229;56.05127;14.08851;951
Triabo;xTib;6343896;532324;57.237;15.53552;001
Totebo;xTob;6387910;570520;57.628;16.18086;001
Lundsbrunn;xLnb;6482307;409188;58.47194;13.44303;001
Vika;Vka;6756840;470730;60.94553;14.45974;361
Gyttorp;xGyt;6595915;498371;59.50166;14.97123;001
Åtorp;xÅtp;6484437;306552;58.45766;11.68403;001
Delsbo;xDo;6852631;581996;61.79776;16.5553;001
Vitaby kyrka;xVtk;6172351;447616;55.69412;14.16664;001
Skara;wSa;6472423;408836;58.38313;13.44093;001
Brågarp;Båp;6168551;388404;55.64999;13.22658;964
Roma kungsgård;xRok;6379768;707751;57.51271;18.46862;001
Saltsjö-Järla;xSjl;6578457;679280;59.30683;18.14932;473
Hagalund;Hgl;6585403;670780;59.37264;18.00575;402
Gräfsnäs;xGr;6440445;352010;58.08069;12.49032;001
Murbergsviken;Mbv;6950433;649989;62.6539;17.92728;237
Svartbäcken Nedre;xSvb;6749585;575161;60.87435;16.38427;001
Järle;xJ;6591754;508570;59.46422;15.15122;001
Hyltebruk;Hyb;6318575;392878;56.99826;13.23659;735
Virserum;xVsm;6353271;534778;57.32104;15.57748;001
Lappträsk;Lpk;7349821;884937;66.03332;23.51342;136
Stora Mon;xSm;6593747;504834;59.48217;15.08533;001
Ravlunda bränneri;xRaä;6173870;446736;55.70767;14.15235;001
Flaten;xFla;6358251;540420;57.3653;15.67197;001
Piteå;Ptå;7259420;801165;65.31841;21.4725;141
Kvarnabo;xQo;6437725;351011;58.05595;12.47513;001
Hösjömo;xHöo;6334454;453316;57.15095;14.22838;001
Forsa;xFsa;6846136;602779;61.73445;16.94558;001
Ankarsrum;xAkm;6396066;579560;57.69975;16.33488;001
Roma;xRa;6379203;707072;57.50796;18.45682;001
Mariefred;xMfd;6570973;626503;59.25877;17.21881;001
Lilla Edet;Let;6445466;331432;58.11838;12.13822;666
Kambshagtorp;xKht;6380700;709717;57.52017;18.50217;001
Pölsebo;Pöb;6399482;315215;57.69948;11.89912;603
Torpa;xTp;6590352;509642;59.4516;15.17005;001
Brösarp;xBöp;6176938;445079;55.73504;14.12537;001
Munkedals hamn;Mklh;6482300;306163;58.43832;11.67918;001
Korsberga;Kba;6351184;507367;57.30356;15.12227;829
Hudiksvall (xHkl);xHkl;6842961;610169;61.70392;17.08343;001
Gårdveda;xGåv;6360188;545377;57.38223;15.75474;001
Vena;xVen;6376190;558052;57.52452;15.96931;001
Nora stad;xN;6597537;502376;59.51623;15.04199;001
Stensjön;xSn;6333642;451699;57.1435;14.2018;001
Tallås Grusgropsväxel;wTås;6749353;576120;60.87208;16.40184;001
Virestad;xVir;6158008;450080;55.5655;14.20844;001
Mosstorp;xMop;6349642;532261;57.28863;15.53521;001
Pershyttevägen;xPgn;6596474;500946;59.50668;15.01671;001
Faxån;Fax;7024837;463084;63.35035;14.26232;221
f.d. Köpingebro;zKöp;6146198;432724;55.45732;13.93614;969
Hultsfred smalspår (xHfp);xHfp;6371911;550769;57.48697;15.84683;001
Pallanite;xPte;6747253;578435;60.85279;16.4436;001
Skuckuviken;Sui;6963307;474173;62.7991;14.49358;001
Munkedals nedre;Mkln;6485295;306275;58.46523;11.67857;001
Brobacka;xBb;6429121;348286;57.97781;12.43453;001
Aska;xAsk;6479281;498727;58.45421;14.97819;001
Forsmöllan;xFmö;6220621;386940;56.11726;13.18157;001
Lysekil;Lys;6464930;291335;58.27579;11.44143;623
Vitaby;xVty;6171294;446911;55.68454;14.15563;001
Hesselby;xHy;6383493;711310;57.54447;18.53113;001
Lilla Mon;xLm;6592974;506997;59.4752;15.12349;001
Fiskåsen;xFie;6354812;628033;57.31825;17.126;001
Ekebohult;xEkh;6338818;458082;57.19062;14.3064;001
Impregneringen;xIpr;6338874;459018;57.1912;14.32189;001
Tappudden;Tpu;6781604;506170;61.16888;15.11469;001
Vilan;Viln;6472737;409710;58.38613;13.45575;001
Pershyttan;xPh;6595132;500394;59.49463;15.00696;001
Gimarpsby;xGby;6336076;455312;57.16572;14.26106;001
Tomtskog;xTog;6356492;627987;57.33334;17.12611;001
Göteborg Volvo;Gvo;6401858;310827;57.71897;11.82375;001
Bläse kalkbruk;xBäu;6423450;727577;57.89469;18.84009;001
Holmsund;Hod;7075713;765156;63.70876;20.37007;147
Åkers styckebruk;Åks;6569982;619531;59.25191;17.09608;453
Persberg;Pbg;6623777;457195;59.74965;14.23832;364
Tuna;xTna;6382144;566010;57.57691;16.10379;001
Mönsterås bruk;Msb;6327886;593147;57.0849;16.53691;001
Hjorted;xHjt;6391842;574205;57.66273;16.24376;001
Myråsen;xMyå;6479132;408866;58.44337;13.43878;001
Hultarp;xHap;6355767;536770;57.3433;15.61093;001
Hultsfreds Hembygdspark;xHfh;6372950;551673;57.49619;15.86214;001
Tveta;xTve;6475759;408330;58.41298;13.43094;001
Stugsund;Stu;6798595;613063;61.30507;17.11097;236
Nygårds Stall Dalhem;xNys;6381764;710312;57.52942;18.513;001
Aga;wAga;6583065;679158;59.3482;18.15101;011
Finkelboda;xFia;6748040;577840;60.85996;16.43296;001
Kopperå;xKpr;7027964;351674;63.34953;12.03542;001
Skogsmark;xSmk;6480235;408978;58.4533;13.44026;001
Löth;xL;6588399;512635;59.43398;15.22273;001
Eken;xEkn;6382968;710900;57.53994;18.52384;001
Hultanäs;xHäs;6341414;526498;57.21509;15.43873;001
Sjövägen;xSjv;6332330;450068;57.13153;14.17511;001
Tule grusgrop;xTeg;6381352;710110;57.52582;18.50929;001
Sissehult;wSsu;6339841;523498;57.20112;15.38891;001
Milletorp;Mip;6344044;511066;57.23934;15.18335;829
Storängen;xStä;6578400;680914;59.30562;18.17792;473
Munkebos;xMus;6382511;710677;57.53595;18.51972;001
Arelid;xArl;6433971;350317;58.02203;12.46577;001
Åbo;xÅbo;6746778;578958;60.84842;16.45302;001
Ösjöbol;Öbl;6338858;515052;57.19264;15.24907;829
Lundsbrunn kurort;wLnb;6482910;409305;58.47738;13.44479;001
Rågön;Råö;7028675;708903;63.32565;19.17297;173
Bor Norra;xBn;6330643;449750;57.11635;14.17021;001
Tule;xTe;6381063;709969;57.5233;18.50668;001
Elgaryd;xEyd;6337529;456356;57.17888;14.27808;001
Jädraås;xJås;6746060;579835;60.8418;16.46886;001
Gnötteln;xGnl;6375632;553708;57.52005;15.89668;001
Fliskär;Fär;6729962;622648;60.68646;17.24586;302
Dala kvarn;xDkn;6481415;409098;58.46391;13.44184;001
Foodia;Foo;6166422;385757;55.63025;13.18542;964
Dirhuvden;xDir;6431725;349339;58.00154;12.45066;001
Ohs Bruk;xOhs;6339055;459574;57.19288;14.33105;001
Långsjön;xLåö;6395714;577217;57.69699;16.29547;001
Tallås;xTås;6749068;576539;60.86945;16.40943;001
Länninge;xLäe;6355285;628342;57.3224;17.13137;001
Anten;xA;6430239;348710;57.98799;12.44098;001
Vitåfors;Vtå;7464338;747229;67.19344;20.72217;008
Källarhalsen;xKh;6594592;503708;59.48976;15.06547;001
S:t Olof;xSoo;6165840;445458;55.63538;14.13361;001
